"district","phone"
"Minas Gerais","103602195112"
"Mie","427274926505"
"Midi-Pyrnes","440512153169"
"Michoacn de Ocampo","632316273199"
"Michoacn de Ocampo","118011831565"
"Michigan","75975221996"
"Michigan","206841104594"
"Mekka","876295323994"
"Mekka","407733804223"
"Mazowieckie","770864062795"
"Massachusetts","885899703621"
"Masqat","380657522649"
"Markazi","481183273622"
"Mandalay","705814003527"
"Manab","282874611748"
"Maharashtra","90921003005"
"Maharashtra","82088937724"
"Maharashtra","51917807050"
"Maharashtra","510737228015"
"Maharashtra","369050085652"
"Maharashtra","182363341674"
"Maharashtra","139378397418"
"Mahajanga","223664661973"
"Madhya Pradesh","990911107354"
"Madhya Pradesh","990214419142"
"Madhya Pradesh","650496654258"
"Lubelskie","52709222667"
"Lombardia","806016930576"
"Lombardia","575081026569"
"Loja","154124128457"
"Lipetsk","942570536750"
"Lipetsk","177727722820"
"Lima","937222955822"
"Lilongwe","843801144113"
"Liepaja","902731229323"
"Liaoning","935952366111"
"Liaoning","25865528181"
"Liaoning","108053751300"
"La Romana","331888642162"
"La Paz","205524798287"
"Kyongsangbuk","333339908719"
"Kyonggi","890289150158"
"KwaZulu-Natal","617567598243"
"KwaZulu-Natal","368738360376"
"Kwara & Kogi","484292626944"
"Kursk","688485191923"
"Kurgan","96846695220"
"Kujawsko-Pomorskie","556100547674"
"Ktahya","614935229095"
"Krim","821972242086"
"Krasnojarsk","840957664136"
"Krasnojarsk","604177838256"
"Kowloon and New Kowl","172262454487"
"Komi","307133768620"
"Kitaa","403404780639"
"Kirov","866092335135"
"Kilis","923261616249"
"Khartum","307703950263"
"Khanh Hoa","574973479129"
"Khanh Hoa","478380208348"
"Kermanshah","342720754566"
"Kerman","474047727727"
"Kerala","357445645426"
"Kerala","230250973122"
"Kedah","181179321332"
"Karnataka","960505250340"
"Karnataka","918119601885"
"Karnataka","800024380485"
"Karnataka","195337700615"
"Karnataka","146497509724"
"Kaohsiung","278669994384"
"Kang-won","745267607502"
"Kanagawa","635297277345"
"Kanagawa","18581624103"
"Kalmykia","407752414682"
"Kaliningrad","96110042435"
"Kalimantan Barat","131370665218"
"Kaduna","747791594069"
"Kaduna","588964509072"
"Kabol","886649065861"
"Jilin","488600270038"
"Jilin","408304391718"
"Jiangxi","161801569569"
"Jiangsu","550306965159"
"Jiangsu","264286442804"
"Jharkhand","620719383725"
"Jharkhand","157133457169"
"Jaroslavl","516331171356"
"Jalisco","49084281333"
"Jalisco","151249681135"
"Jakarta Raya","719202533520"
"Ivanovo","547003310357"
"Istanbul","854259976812"
"Ishikawa","135407755975"
"Irkutsk","209342540247"
"Inner Mongolia","640843562301"
"Inner Mongolia","468060467018"
"Inner Mongolia","275595571388"
"Inner Mongolia","240776414296"
"Illinois","924663855568"
"Illinois","874337098891"
"Illinois","165450987037"
"Illinois","111177206479"
"Ibaragi","776031833752"
"Hunan","947233365992"
"Hunan","192459639410"
"Hubei","613124286867"
"Hubei","379804592943"
"Hubei","368284120423"
"Hubei","288910576761"
"Hubei","279979529227"
"Huanuco","863080561151"
"Hodeida","562370137426"
"Hmelnytskyi","619966287415"
"Hiroshima","710603868323"
"Hiroshima","647899404952"
"Hiroshima","581852137991"
"Hidalgo","995527378381"
"Hidalgo","754358349853"
"Henan","912257250465"
"Henan","624138001031"
"Henan","168884817145"
"Heilongjiang","59634255214"
"Heilongjiang","288241215394"
"Hebei","890283544295"
"Hawalli","630424482919"
"Haskovo","352679173732"
"Haryana","959949395183"
"Haryana","465887807014"
"Hanoi","870635127812"
"Hamilton","657282285970"
"Haiphong","470884141195"
"Hainan","357593328658"
"Ha Darom","709935135487"
"Ha Darom","667648979883"
"Gurico","892523334"
"Gumma","132100972047"
"Gujarat","924815207181"
"Gujarat","62127829280"
"Gujarat","577812616052"
"Guerrero","294449058179"
"Guangdong","991562402283"
"Guangdong","736517327853"
"Guangdong","71857599858"
"Guangdong","702955450528"
"Guanajuato","957128697225"
"Guanajuato","680851640676"
"Guanajuato","45387294817"
"Guanajuato","387448063440"
"Gois","947468818183"
"Gois","935448624185"
"Gois","873492228462"
"Gois","22326410776"
"Gois","132986892228"
"Gifu","819416131190"
"Georgia","6171054059"
"Gelderland","963369996279"
"Gelderland","718917251754"
"Gaziantep","435118527255"
"Gauteng","918032330119"
"Gauteng","800716535041"
"Gauteng","490211944645"
"Gauteng","248446668735"
"Gansu","962020153680"
"Gansu","201705577290"
"Galicia","84794532510"
"Galicia","680428310138"
"Galicia","622884741180"
"Funafuti","963887147572"
"Fukushima","794553031307"
"Fukushima","137773001988"
"Fujian","583021225407"
"Friuli-Venezia Giuli","182059202712"
"Free State","707169393853"
"Florida","435785045362"
"Florida","214756839122"
"Fejr","437829801725"
"Esprito Santo","378318851631"
"Eskisehir","402630109080"
"Esfahan","762361821578"
"Esfahan","648856936185"
"Esfahan","320471479776"
"England","959467760895"
"England","949312333307"
"England","720998247660"
"England","590764256785"
"England","553452430707"
"England","285710089439"
"England","246810237916"
"Edo & Delta","195003555232"
"Eastern Visayas","565018274456"
"East Kasai","409315295763"
"East Java","793996678771"
"East Java","440365973660"
"East Azerbaidzan","117592274996"
"Drenthe","131912793873"
"Dolnoslaskie","970638808606"
"Distrito Federal","829116184079"
"Distrito Federal","272234298332"
"Dhaka","965273813662"
"Dhaka","892775750063"
"Dhaka","38988715447"
"Denizli","975185523021"
"Daugavpils","627924259271"
"Crdoba","934730187245"
"Coquimbo","602101369463"
"Copperbelt","689681677428"
"Colorado","484500282381"
"Coahuila de Zaragoza","936806643983"
"Coahuila de Zaragoza","321944036800"
"Coahuila de Zaragoza","203804046132"
"Chuquisaca","82619513349"
"Chollanam","792557457753"
"Chisinau","489783829737"
"Chimborazo","898559280434"
"Chihuahua","769370126331"
"Chihuahua","561729882725"
"Chiba","697760867968"
"Chiayi","427454485876"
"Cheju","978987363654"
"Chari-Baguirmi","8912935608"
"Changhwa","251164340471"
"Chaharmahal va Bakht","951486492670"
"Centre","845378657301"
"Central Visayas","569868543137"
"Central Serbia","716571220373"
"Central Mindanao","165164761435"
"Central Luzon","987442542471"
"Central Luzon","82671830126"
"Central Luzon","50898428626"
"Central Java","834061016202"
"Central Java","386759646229"
"Central Java","335052544020"
"Central","908029859266"
"Central","568367775448"
"Central","20064292617"
"Cear","69493378813"
"Cayenne","409983924481"
"Caraga","835433605312"
"Caraga","650752094490"
"Carabobo","754579047924"
"Caquet","366776723320"
"Campeche","377633994405"
"Callao","504434452842"
"California","838635286649"
"California","824370924746"
"California","785881412500"
"California","685010736240"
"California","662227486184"
"California","546793516940"
"California","517338314235"
"California","171822533480"
"California","137809746111"
"Cagayan Valley","265153400632"
"Bursa","880756161823"
"Bukarest","997453607116"
"Buenos Aires","991802825778"
"Buenos Aires","972574862516"
"Buenos Aires","914466027044"
"Buenos Aires","846225459260"
"Buenos Aires","817740355461"
"Buenos Aires","779461480495"
"Buenos Aires","717566026669"
"Buenos Aires","411549550611"
"Buenos Aires","330838016880"
"Buenos Aires","296394569728"
"Brunei and Muara","345679835036"
"British Colombia","145720452260"
"Bretagne","516647474029"
"Bratislava","738968474939"
"Boyac","17305839123"
"Botosani","479007229460"
"Bihar","987306329957"
"Bihar","678220867005"
"Bihar","442673923363"
"Bern","904253967161"
"Benguela","105882218332"
"Bchar","107137400143"
"Bauchi & Gombe","653436985797"
"Battambang","448876499197"
"Batna","406784385440"
"Batman","734780743462"
"Baskimaa","96604821070"
"Basel-Stadt","1395251317"
"Banjul","170115379190"
"Balikesir","99883471275"
"Baki","119501405123"
"Baja California Sur","488425406814"
"Baja California","895616862749"
"Baijeri","72524459905"
"Baden-Wrttemberg","331132568928"
"Attika","448477190408"
"Asuncin","684192903087"
"Asturia","537374465982"
"Assam","761379480249"
"Asir","196568435814"
"Arecibo","102396298916"
"Apulia","465897838272"
"Anzotegui","618156722572"
"Antofagasta","675292816413"
"Anhalt Sachsen","567359279425"
"Andhra Pradesh","80593242951"
"Andhra Pradesh","441628280920"
"Andhra Pradesh","166898395731"
"Alto Paran","905903574913"
"Alberta","14033335568"
"Alberta",""
"al-Sharqiya","855066328617"
"al-Sharqiya","214976066017"
"al-Qalyubiya","787654415858"
"al-Qalyubiya","23712411567"
"al-Qadarif","765957414528"
"al-Manama","864392582257"
"al-Daqahliya","171973024401"
"Ahal","764477681869"
"Adygea","262744791493"
"Aden","756460337785"
"Addis Abeba","47808359842"
"Adana","834418779292"
"Adana","697151428760"
"Aceh","932992626595"
"Abu Dhabi","985109775584"
"Abu Dhabi","412903167998"
"","998009777982"
"","934352415130"
"","282667506728"
